GEOCATEGORY =,"effect of tool on scholarly communication: whether it makes that more (O)pen, E(fficient) or G(ood), where ""Good"" means ""reproducible"" or ""fair""",
UI_GEOCATEGORY =,"user input on: effect of tool on scholarly communication: whether it makes that more (O)pen, E(fficient) or G(ood), where ""Good"" means ""reproducible"" or ""fair""",
UI_FIELDUSE_AH =,used or can be used in Arts & Humanities (user input field),
UI_FIELDUSE_SS =,used or can be used in Social Sciences (including law/economics)  (user input field),
UI_FIELDUSE_LF =,used or can be used in Life Sciences (user input field),
UI_FIELDUSE_PT =,used or can be used in Physical Sciences & Technology (user input field),
TWITTERACCOUNT =,link to Twitter profile,
TWITTERFOLLOW =,number of Twitter followers ,
ACTIVEPRE =,usability in preparation phase of research workflow,
ACTIVEDIS =,usability in discovery phase of research workflow,
ACTIVEANA =,usability in analysis phase of research workflow,
ACTIVEWRI =,usability in writing phase of research workflow,
ACTIVEPUB =,usability in publication pase of research workflow,
ACTIVEOUT =,usability in outreach phase of research workflow,
ACTIVEASS =,usability in assessment phase of research workflow,
UI_REMARKS =,remarks (user input field),
,,
research phase number,research phases (30),research phases (7)
0,project management,preparation
1,crowdsource/define research priorities/ideas/collaborations,
2,fund / get contract,
3,search (lit/data/patents/code),discovery
4,get access,
5,get alerts / get (reading) recommendations,
6,reference management,
7,read / view,
8,annotate/tag (during/after reading),
9,experiment & collect/mine/extract data,analysis
10,share notebooks / protocols / workflows,
11,analyze,
12,visualize,writing
13,write (+ code),
14,cite,
15,translate,
16,archive/share code,publication
17,archive/share data / video,
18,archive/share publications,
19,archive/share posters,
20,archive/share presentations,
21,present research findings,
22,peer review and comment/recommend (pre-pub),
23,select journal to submit to,
24,publish,
25,outreach/valorization,outreach
26,researcher profiling (& social network),
27,comment,assessment
28,peer review (post-pub),
29,"measure impact (of output, e.g. article)",
30,assessment (of researcher/research group),
,,
,creators + title,link
apart from our own explorations we have used these invaluable tool lists and resources; each has its seperate value and we encourage you to visit them,QUEST toolbox,https://www.bihealth.org/de/forschung/quest-center/mission-ansaetze/open-science/quest-toolbox/
,Crouzier: Connect Researcher - digital Tools for researchers,http://connectedresearchers.com/online-tools-for-researchers/
,Dirt Directory: Dirt Directory Digital research Tools,http://dirtdirectory.org/
,Ebermann: Data Stack,https://blog.liip.ch/archive/2017/02/13/data-stack.html
,Force11: Force11 Resource and Tool Catalog,https://www.force11.org/catalog
,LabWorm: tools,https://labworm.com/discover
,Martyn Rittman: Research preprints: server list,https://docs.google.com/spreadsheets/d/17RgfuQcGJHKSsSJwZZn0oiXAnimZu2sZsWp8Z6ZaYYo/edit#gid=0
,Mind the gap catalogue of open source tools,https://mindthegap.pubpub.org/
,Research Stash,https://researchstash.com/
,SciCrunch: resources,https://scicrunch.org/browse/resourcedashboard
,Tennant & Mounce: Open Glossary,https://docs.google.com/document/d/1-6ZokH_dyeMYB5vXJNgSnzu6EtWtKrvgpB8nNHfZynU
,Wikipedia: Comparison of research networking tools and research profiling systems,http://en.wikipedia.org/wiki/Comparison_of_research_networking_tools_and_research_profiling_systems
